paper_id,variable,proposed_consensus_proc,decision_type(多数/僵持/专家)_proc,rationale_rule_ids(如:R1|R3)_proc,comments_proc,proposed_consensus_res,decision_type(多数/僵持/专家)_res,rationale_rule_ids(如:R1|R3)_res,comments_res
69,Methodology,,,R_MD_01,R_MD_01：依据研究方式层级规范进行判定。,,,R_MD_01,R_MD_01：依据研究方式层级规范进行判定。
70,Methodology,,,R_MD_01,R_MD_01：依据研究方式层级规范进行判定。,,,R_MD_01,R_MD_01：依据研究方式层级规范进行判定。
71,Methodology,,,R_MD_01,R_MD_01：依据研究方式层级规范进行判定。,,,R_MD_01,R_MD_01：依据研究方式层级规范进行判定。
72,Methodology,,,R_MD_01,R_MD_01：依据研究方式层级规范进行判定。,,,R_MD_01,R_MD_01：依据研究方式层级规范进行判定。
6,coder_notes_rule_code,,多数,,,,多数,,
44,coder_notes_rule_code,,多数,,,,多数,,
46,coder_notes_rule_code,,多数,,,,多数,,
16,MethodTransparency,,,R_TR_01,R_TR_01：按七项可复核线索计数形成分档。,,,R_TR_01,R_TR_01：按七项可复核线索计数形成分档。
17,MethodTransparency,,,R_TR_01,R_TR_01：按七项可复核线索计数形成分档。,,,R_TR_01,R_TR_01：按七项可复核线索计数形成分档。
18,MethodTransparency,,,R_TR_01,R_TR_01：按七项可复核线索计数形成分档。,,,R_TR_01,R_TR_01：按七项可复核线索计数形成分档。
19,MethodTransparency,,,R_TR_01,R_TR_01：按七项可复核线索计数形成分档。,,,R_TR_01,R_TR_01：按七项可复核线索计数形成分档。
20,MethodTransparency,,,R_TR_01,R_TR_01：按七项可复核线索计数形成分档。,,,R_TR_01,R_TR_01：按七项可复核线索计数形成分档。
25,MethodTransparency,,,R_TR_01,R_TR_01：按七项可复核线索计数形成分档。,,,R_TR_01,R_TR_01：按七项可复核线索计数形成分档。
27,MethodTransparency,,,R_TR_01,R_TR_01：按七项可复核线索计数形成分档。,,,R_TR_01,R_TR_01：按七项可复核线索计数形成分档。
30,MethodTransparency,,,R_TR_01,R_TR_01：按七项可复核线索计数形成分档。,,,R_TR_01,R_TR_01：按七项可复核线索计数形成分档。
31,MethodTransparency,,,R_TR_01,R_TR_01：按七项可复核线索计数形成分档。,,,R_TR_01,R_TR_01：按七项可复核线索计数形成分档。
33,MethodTransparency,,,R_TR_01,R_TR_01：按七项可复核线索计数形成分档。,,,R_TR_01,R_TR_01：按七项可复核线索计数形成分档。
34,MethodTransparency,,,R_TR_01,R_TR_01：按七项可复核线索计数形成分档。,,,R_TR_01,R_TR_01：按七项可复核线索计数形成分档。
41,MethodTransparency,,,R_TR_01,R_TR_01：按七项可复核线索计数形成分档。,,,R_TR_01,R_TR_01：按七项可复核线索计数形成分档。
43,MethodTransparency,,,R_TR_01,R_TR_01：按七项可复核线索计数形成分档。,,,R_TR_01,R_TR_01：按七项可复核线索计数形成分档。
48,MethodTransparency,,,R_TR_01,R_TR_01：按七项可复核线索计数形成分档。,,,R_TR_01,R_TR_01：按七项可复核线索计数形成分档。
49,MethodTransparency,,,R_TR_01,R_TR_01：按七项可复核线索计数形成分档。,,,R_TR_01,R_TR_01：按七项可复核线索计数形成分档。
50,MethodTransparency,,,R_TR_01,R_TR_01：按七项可复核线索计数形成分档。,,,R_TR_01,R_TR_01：按七项可复核线索计数形成分档。
51,MethodTransparency,,,R_TR_01,R_TR_01：按七项可复核线索计数形成分档。,,,R_TR_01,R_TR_01：按七项可复核线索计数形成分档。
52,MethodTransparency,,,R_TR_01,R_TR_01：按七项可复核线索计数形成分档。,,,R_TR_01,R_TR_01：按七项可复核线索计数形成分档。
53,MethodTransparency,,,R_TR_01,R_TR_01：按七项可复核线索计数形成分档。,,,R_TR_01,R_TR_01：按七项可复核线索计数形成分档。
54,MethodTransparency,,,R_TR_01,R_TR_01：按七项可复核线索计数形成分档。,,,R_TR_01,R_TR_01：按七项可复核线索计数形成分档。
55,MethodTransparency,,,R_TR_01,R_TR_01：按七项可复核线索计数形成分档。,,,R_TR_01,R_TR_01：按七项可复核线索计数形成分档。
56,MethodTransparency,,,R_TR_01,R_TR_01：按七项可复核线索计数形成分档。,,,R_TR_01,R_TR_01：按七项可复核线索计数形成分档。
57,MethodTransparency,,,R_TR_01,R_TR_01：按七项可复核线索计数形成分档。,,,R_TR_01,R_TR_01：按七项可复核线索计数形成分档。
58,MethodTransparency,,,R_TR_01,R_TR_01：按七项可复核线索计数形成分档。,,,R_TR_01,R_TR_01：按七项可复核线索计数形成分档。
59,MethodTransparency,,,R_TR_01,R_TR_01：按七项可复核线索计数形成分档。,,,R_TR_01,R_TR_01：按七项可复核线索计数形成分档。
60,MethodTransparency,,,R_TR_01,R_TR_01：按七项可复核线索计数形成分档。,,,R_TR_01,R_TR_01：按七项可复核线索计数形成分档。
