paper_id,MethodTag,MethodTag_status,MethodFamily,MethodFamily_status,Methodology,Methodology_status,MethodTransparency,MethodTransparency_status,MethodNormativity,MethodNormativity_status,coder_notes_rule_code,coder_notes_rule_code_status
29,20.0,多数,102.0,多数,3.0,多数,1.0,多数,2.0,多数,906.0,多数
30,20.0,多数,102.0,多数,3.0,多数,2.0,多数,2.0,多数,906.0,多数
31,20.0,多数,102.0,多数,3.0,多数,2.0,多数,2.0,多数,906.0,多数
32,20.0,多数,102.0,多数,3.0,多数,1.0,多数,2.0,多数,906.0,多数
33,20.0,多数,102.0,多数,3.0,多数,,僵持,2.0,多数,906.0,多数
34,20.0,多数,102.0,多数,3.0,多数,1.0,多数,,僵持,906.0,多数
35,20.0,多数,102.0,多数,3.0,多数,1.0,多数,2.0,多数,906.0,多数
36,20.0,多数,102.0,多数,3.0,多数,1.0,多数,2.0,多数,906.0,多数
37,20.0,多数,102.0,多数,3.0,多数,1.0,多数,2.0,多数,906.0,多数
38,20.0,多数,102.0,多数,3.0,多数,1.0,多数,2.0,多数,906.0,多数
39,20.0,多数,102.0,多数,3.0,多数,2.0,多数,2.0,多数,906.0,多数
40,20.0,多数,102.0,多数,3.0,多数,2.0,多数,2.0,多数,906.0,多数
41,20.0,多数,101.0,多数,3.0,多数,2.0,多数,2.0,多数,905.0,多数
42,20.0,多数,102.0,多数,3.0,多数,2.0,多数,2.0,多数,906.0,多数
43,20.0,多数,102.0,多数,3.0,多数,,僵持,2.0,多数,906.0,多数
44,20.0,多数,,僵持,3.0,多数,1.0,多数,2.0,多数,,僵持
45,20.0,多数,102.0,多数,3.0,多数,1.0,多数,2.0,多数,906.0,多数
46,20.0,多数,,僵持,3.0,多数,1.0,多数,2.0,多数,,僵持
47,20.0,多数,102.0,多数,3.0,多数,1.0,多数,2.0,多数,906.0,多数
48,20.0,多数,102.0,多数,3.0,多数,2.0,多数,2.0,多数,906.0,多数
49,20.0,多数,102.0,多数,3.0,多数,2.0,多数,2.0,多数,906.0,多数
50,20.0,多数,102.0,多数,3.0,多数,2.0,多数,2.0,多数,906.0,多数
51,20.0,多数,,僵持,3.0,多数,2.0,多数,2.0,多数,,僵持
52,20.0,多数,102.0,多数,3.0,多数,2.0,多数,2.0,多数,906.0,多数
53,20.0,多数,,僵持,3.0,多数,2.0,多数,2.0,多数,,僵持
54,20.0,多数,102.0,多数,3.0,多数,2.0,多数,,僵持,906.0,多数
55,20.0,多数,,僵持,3.0,多数,2.0,多数,2.0,多数,,僵持
56,20.0,多数,102.0,多数,3.0,多数,,僵持,2.0,多数,906.0,多数
57,20.0,多数,102.0,多数,3.0,多数,,僵持,2.0,多数,906.0,多数
58,20.0,多数,102.0,多数,3.0,多数,2.0,多数,2.0,多数,906.0,多数
59,20.0,多数,102.0,多数,3.0,多数,2.0,多数,2.0,多数,906.0,多数
60,20.0,多数,102.0,多数,3.0,多数,,僵持,2.0,多数,906.0,多数
61,20.0,多数,,僵持,3.0,多数,2.0,多数,2.0,多数,,僵持
62,20.0,多数,102.0,多数,3.0,多数,1.0,多数,2.0,多数,906.0,多数
63,20.0,多数,199.0,多数,,僵持,2.0,多数,,僵持,902.0,多数
64,20.0,多数,199.0,多数,1.0,多数,2.0,多数,,僵持,902.0,多数
65,20.0,多数,102.0,多数,3.0,多数,2.0,多数,2.0,多数,906.0,多数
66,20.0,多数,,僵持,3.0,多数,2.0,多数,2.0,多数,,僵持
67,20.0,多数,101.0,多数,3.0,多数,1.0,多数,2.0,多数,905.0,多数
68,20.0,多数,102.0,多数,3.0,多数,1.0,多数,2.0,多数,906.0,多数
69,20.0,多数,102.0,多数,,僵持,2.0,多数,2.0,多数,906.0,多数
70,20.0,多数,,僵持,,僵持,2.0,多数,2.0,多数,,僵持
71,20.0,多数,,僵持,,僵持,2.0,多数,2.0,多数,,僵持
72,,僵持,107.0,多数,,僵持,2.0,多数,2.0,多数,909.0,多数
73,,僵持,107.0,多数,2.0,多数,2.0,多数,2.0,多数,909.0,多数
74,,僵持,107.0,多数,2.0,多数,2.0,多数,2.0,多数,909.0,多数
75,30.0,多数,107.0,多数,2.0,多数,1.0,多数,2.0,多数,909.0,多数
76,,僵持,107.0,多数,2.0,多数,2.0,多数,2.0,多数,909.0,多数
77,,僵持,107.0,多数,2.0,多数,2.0,多数,2.0,多数,909.0,多数
78,20.0,多数,102.0,多数,3.0,多数,1.0,多数,2.0,多数,906.0,多数
79,20.0,多数,103.0,多数,3.0,多数,2.0,多数,2.0,多数,908.0,多数
80,20.0,多数,102.0,多数,3.0,多数,1.0,多数,,僵持,906.0,多数
