variable,paper_id,conflict_class,priority,agent_A,agent_B,agent_C,agent_D
coder_notes_rule_code,16,多派分歧,3,906,907,909,902
coder_notes_rule_code,17,多派分歧,3,906,906,909,907
coder_notes_rule_code,18,多派分歧,3,902,906,904,906
coder_notes_rule_code,19,多派分歧,3,902,905,904,907
coder_notes_rule_code,20,多派分歧,3,906,905,907,907
coder_notes_rule_code,21,多派分歧,3,906,906,906,907
coder_notes_rule_code,22,多派分歧,3,906,906,906,907
coder_notes_rule_code,26,多派分歧,3,906,905,906,902
coder_notes_rule_code,28,多派分歧,3,906,906,906,902
coder_notes_rule_code,30,多派分歧,3,906,906,906,907
coder_notes_rule_code,31,多派分歧,3,906,906,906,907
coder_notes_rule_code,32,多派分歧,3,906,906,906,902
coder_notes_rule_code,33,多派分歧,3,905,906,906,906
coder_notes_rule_code,34,多派分歧,3,902,906,906,906
coder_notes_rule_code,36,多派分歧,3,906,905,906,906
coder_notes_rule_code,37,多派分歧,3,906,906,906,902
coder_notes_rule_code,38,多派分歧,3,906,906,906,902
coder_notes_rule_code,39,多派分歧,3,906,906,906,907
coder_notes_rule_code,40,多派分歧,3,906,906,906,909
coder_notes_rule_code,41,多派分歧,3,905,905,906,907
coder_notes_rule_code,42,多派分歧,3,906,905,906,907
coder_notes_rule_code,43,多派分歧,3,906,905,906,906
coder_notes_rule_code,45,多派分歧,3,905,906,906,902
coder_notes_rule_code,48,多派分歧,3,906,906,906,909
coder_notes_rule_code,49,多派分歧,3,906,905,906,906
coder_notes_rule_code,50,多派分歧,3,906,906,906,907
coder_notes_rule_code,51,多派分歧,3,902,905,906,907
coder_notes_rule_code,52,多派分歧,3,902,906,906,907
coder_notes_rule_code,53,多派分歧,3,902,905,906,907
coder_notes_rule_code,54,多派分歧,3,902,905,906,906
coder_notes_rule_code,55,多派分歧,3,902,905,906,907
coder_notes_rule_code,56,多派分歧,3,902,905,906,906
coder_notes_rule_code,57,多派分歧,3,902,906,906,906
coder_notes_rule_code,58,多派分歧,3,902,906,906,909
coder_notes_rule_code,59,多派分歧,3,906,906,906,909
coder_notes_rule_code,60,多派分歧,3,906,906,906,902
coder_notes_rule_code,61,多派分歧,3,902,905,906,907
coder_notes_rule_code,62,多派分歧,3,906,906,902,906
coder_notes_rule_code,63,多派分歧,3,906,905,902,902
coder_notes_rule_code,64,多派分歧,3,902,906,902,907
coder_notes_rule_code,65,多派分歧,3,906,906,902,909
coder_notes_rule_code,66,多派分歧,3,905,906,902,907
coder_notes_rule_code,67,多派分歧,3,905,905,902,906
coder_notes_rule_code,68,多派分歧,3,906,906,909,906
coder_notes_rule_code,69,多派分歧,3,906,906,909,907
coder_notes_rule_code,70,多派分歧,3,906,905,909,907
coder_notes_rule_code,71,多派分歧,3,906,905,909,907
coder_notes_rule_code,72,多派分歧,3,909,905,909,906
coder_notes_rule_code,73,多派分歧,3,909,905,909,907
coder_notes_rule_code,74,多派分歧,3,909,905,909,907
coder_notes_rule_code,75,多派分歧,3,909,906,909,902
coder_notes_rule_code,76,多派分歧,3,909,905,909,903
coder_notes_rule_code,77,多派分歧,3,909,906,909,907
coder_notes_rule_code,78,多派分歧,3,906,906,909,908
coder_notes_rule_code,79,多派分歧,3,908,905,908,907
coder_notes_rule_code,80,多派分歧,3,906,906,906,902
MethodFamily,6,两派分歧,2,199,102,199,102
MethodFamily,44,两派分歧,2,101,101,102,102
MethodFamily,46,两派分歧,2,101,101,102,102
MethodTag,6,两派分歧,2,40,20,40,20
MethodTag,13,两派分歧,2,10,20,10,20
MethodTag,72,两派分歧,2,30,20,30,20
MethodTag,73,两派分歧,2,30,20,30,20
MethodTag,74,两派分歧,2,30,20,30,20
MethodTag,76,两派分歧,2,30,20,30,20
MethodTag,77,两派分歧,2,30,20,30,20
Methodology,6,两派分歧,2,1,3,1,3
Methodology,17,两派分歧,2,3,3,2,2
Methodology,20,两派分歧,2,3,3,2,2
Methodology,63,两派分歧,2,3,3,1,1
Methodology,69,两派分歧,2,3,3,2,2
Methodology,70,两派分歧,2,3,3,2,2
Methodology,71,两派分歧,2,3,3,2,2
Methodology,72,两派分歧,2,2,3,2,3
coder_notes_rule_code,6,两派分歧,2,902,906,902,906
coder_notes_rule_code,44,两派分歧,2,905,905,906,906
coder_notes_rule_code,46,两派分歧,2,905,905,906,906
MethodNormativity,1,相邻分歧,1,1,2,1,2
MethodNormativity,2,相邻分歧,1,1,2,1,1
MethodNormativity,3,相邻分歧,1,1,2,1,1
MethodNormativity,4,相邻分歧,1,1,2,1,1
MethodNormativity,5,相邻分歧,1,1,2,1,1
MethodNormativity,6,相邻分歧,1,1,2,1,1
MethodNormativity,7,相邻分歧,1,1,2,2,1
MethodNormativity,8,相邻分歧,1,2,2,2,1
MethodNormativity,9,相邻分歧,1,1,2,2,1
MethodNormativity,10,相邻分歧,1,1,2,1,1
MethodNormativity,11,相邻分歧,1,1,2,1,1
MethodNormativity,12,相邻分歧,1,1,2,1,2
MethodNormativity,13,相邻分歧,1,1,2,1,1
MethodNormativity,14,相邻分歧,1,2,2,1,2
MethodNormativity,16,相邻分歧,1,2,2,2,1
MethodNormativity,18,相邻分歧,1,1,2,2,1
MethodNormativity,19,相邻分歧,1,1,2,2,2
MethodNormativity,21,相邻分歧,1,2,2,1,2
MethodNormativity,22,相邻分歧,1,2,2,1,2
MethodNormativity,23,相邻分歧,1,2,2,1,1
MethodNormativity,24,相邻分歧,1,2,2,1,2
MethodNormativity,26,相邻分歧,1,2,2,2,1
MethodNormativity,28,相邻分歧,1,2,2,2,1
MethodNormativity,29,相邻分歧,1,2,2,2,1
MethodNormativity,32,相邻分歧,1,2,2,2,1
MethodNormativity,33,相邻分歧,1,2,2,2,1
MethodNormativity,34,相邻分歧,1,1,2,2,1
MethodNormativity,35,相邻分歧,1,2,2,2,1
MethodNormativity,36,相邻分歧,1,2,2,2,1
MethodNormativity,37,相邻分歧,1,2,2,2,1
MethodNormativity,38,相邻分歧,1,2,2,2,1
MethodNormativity,43,相邻分歧,1,2,2,2,1
MethodNormativity,45,相邻分歧,1,2,2,2,1
MethodNormativity,49,相邻分歧,1,2,2,2,1
MethodNormativity,51,相邻分歧,1,1,2,2,2
MethodNormativity,52,相邻分歧,1,1,2,2,2
MethodNormativity,53,相邻分歧,1,1,2,2,2
MethodNormativity,54,相邻分歧,1,1,2,2,1
MethodNormativity,55,相邻分歧,1,1,2,2,2
MethodNormativity,56,相邻分歧,1,1,2,2,2
MethodNormativity,57,相邻分歧,1,1,2,2,2
MethodNormativity,58,相邻分歧,1,1,2,2,2
MethodNormativity,60,相邻分歧,1,2,2,2,1
MethodNormativity,61,相邻分歧,1,1,2,2,2
MethodNormativity,62,相邻分歧,1,2,2,1,2
MethodNormativity,63,相邻分歧,1,2,2,1,1
MethodNormativity,64,相邻分歧,1,1,2,1,2
MethodNormativity,65,相邻分歧,1,2,2,1,2
MethodNormativity,66,相邻分歧,1,2,2,1,2
MethodNormativity,67,相邻分歧,1,2,2,1,2
MethodNormativity,75,相邻分歧,1,2,2,2,1
MethodNormativity,78,相邻分歧,1,2,2,2,1
MethodNormativity,80,相邻分歧,1,2,2,1,1
MethodTransparency,16,相邻分歧,1,1,2,1,1
MethodTransparency,17,相邻分歧,1,2,1,1,2
MethodTransparency,18,相邻分歧,1,2,1,1,1
MethodTransparency,19,相邻分歧,1,1,1,1,2
MethodTransparency,20,相邻分歧,1,2,1,1,2
MethodTransparency,25,相邻分歧,1,2,1,2,1
MethodTransparency,27,相邻分歧,1,2,1,2,1
MethodTransparency,30,相邻分歧,1,2,1,2,2
MethodTransparency,31,相邻分歧,1,2,1,2,2
MethodTransparency,33,相邻分歧,1,2,1,2,1
MethodTransparency,34,相邻分歧,1,1,1,2,1
MethodTransparency,41,相邻分歧,1,2,1,2,2
MethodTransparency,43,相邻分歧,1,2,1,2,1
MethodTransparency,48,相邻分歧,1,2,1,2,2
MethodTransparency,49,相邻分歧,1,2,2,2,1
MethodTransparency,50,相邻分歧,1,2,1,2,2
MethodTransparency,51,相邻分歧,1,1,2,2,2
MethodTransparency,52,相邻分歧,1,2,1,2,2
MethodTransparency,53,相邻分歧,1,2,1,2,2
MethodTransparency,54,相邻分歧,1,2,2,2,1
MethodTransparency,55,相邻分歧,1,2,1,2,2
MethodTransparency,56,相邻分歧,1,2,1,2,1
MethodTransparency,57,相邻分歧,1,2,1,2,1
MethodTransparency,58,相邻分歧,1,2,1,2,2
MethodTransparency,59,相邻分歧,1,2,1,2,2
MethodTransparency,60,相邻分歧,1,2,1,2,1
