variable,paper_id,agent_A,agent_B,agent_C,agent_D,conflict_class,priority,proposed_consensus,decision_type(多数/僵持/专家),rationale_rule_ids(如:R1|R3),evidence_anchor_ids(如:E2|E5),comments,decided_by,decided_at
MethodTransparency,22,2,1,0,2,严重分歧,3,,,,,,,
MethodTransparency,23,2,1,0,1,严重分歧,3,,,,,,,
MethodTransparency,24,2,1,0,1,严重分歧,3,,,,,,,
MethodTransparency,26,3,1,2,1,严重分歧,3,,,,,,,
MethodTransparency,28,3,1,2,1,严重分歧,3,,,,,,,
MethodTransparency,29,3,1,2,1,严重分歧,3,,,,,,,
MethodTransparency,32,3,1,2,1,严重分歧,3,,,,,,,
MethodTransparency,35,3,1,2,1,严重分歧,3,,,,,,,
MethodTransparency,36,3,1,2,1,严重分歧,3,,,,,,,
MethodTransparency,37,3,1,2,1,严重分歧,3,,,,,,,
MethodTransparency,38,3,1,2,1,严重分歧,3,,,,,,,
MethodTransparency,39,3,1,2,2,严重分歧,3,,,,,,,
MethodTransparency,40,3,1,2,2,严重分歧,3,,,,,,,
MethodTransparency,42,3,1,2,2,严重分歧,3,,,,,,,
MethodTransparency,44,3,1,2,1,严重分歧,3,,,,,,,
MethodTransparency,45,3,1,2,1,严重分歧,3,,,,,,,
MethodTransparency,46,3,1,2,1,严重分歧,3,,,,,,,
MethodTransparency,47,3,1,2,1,严重分歧,3,,,,,,,
MethodTransparency,62,2,1,0,1,严重分歧,3,,,,,,,
MethodTransparency,63,2,2,0,1,严重分歧,3,,,,,,,
MethodTransparency,64,2,1,0,2,严重分歧,3,,,,,,,
MethodTransparency,65,2,1,0,2,严重分歧,3,,,,,,,
MethodTransparency,66,2,1,0,2,严重分歧,3,,,,,,,
MethodTransparency,67,2,1,0,1,严重分歧,3,,,,,,,
MethodTransparency,68,2,1,0,1,严重分歧,3,,,,,,,
MethodTransparency,69,2,1,0,2,严重分歧,3,,,,,,,
MethodTransparency,70,1,2,0,2,严重分歧,3,,,,,,,
MethodTransparency,71,1,2,0,2,严重分歧,3,,,,,,,
MethodTransparency,72,2,2,0,1,严重分歧,3,,,,,,,
MethodTransparency,73,2,2,0,2,严重分歧,3,,,,,,,
MethodTransparency,74,2,1,0,2,严重分歧,3,,,,,,,
MethodTransparency,75,2,1,0,1,严重分歧,3,,,,,,,
MethodTransparency,76,2,2,0,2,严重分歧,3,,,,,,,
MethodTransparency,77,2,1,0,2,严重分歧,3,,,,,,,
MethodTransparency,78,2,1,0,1,严重分歧,3,,,,,,,
MethodTransparency,79,2,2,0,2,严重分歧,3,,,,,,,
Methodology,1,1,3,3,3,多派分歧,3,,,,,,,
Methodology,2,1,3,3,3,多派分歧,3,,,,,,,
Methodology,3,1,3,3,3,多派分歧,3,,,,,,,
Methodology,4,1,3,3,3,多派分歧,3,,,,,,,
Methodology,5,1,3,1,1,多派分歧,3,,,,,,,
Methodology,7,1,3,2,1,多派分歧,3,,,,,,,
Methodology,9,1,3,2,1,多派分歧,3,,,,,,,
Methodology,10,1,3,3,3,多派分歧,3,,,,,,,
Methodology,11,1,3,3,3,多派分歧,3,,,,,,,
Methodology,12,1,3,3,3,多派分歧,3,,,,,,,
Methodology,13,1,3,1,2,多派分歧,3,,,,,,,
Methodology,14,3,3,1,3,多派分歧,3,,,,,,,
Methodology,15,3,3,2,3,多派分歧,3,,,,,,,
Methodology,16,3,2,2,1,多派分歧,3,,,,,,,
Methodology,18,1,3,3,3,多派分歧,3,,,,,,,
Methodology,19,1,3,3,2,多派分歧,3,,,,,,,
Methodology,21,3,3,3,2,多派分歧,3,,,,,,,
Methodology,22,3,3,3,2,多派分歧,3,,,,,,,
Methodology,26,3,3,3,1,多派分歧,3,,,,,,,
Methodology,28,3,3,3,1,多派分歧,3,,,,,,,
Methodology,30,3,3,3,2,多派分歧,3,,,,,,,
Methodology,31,3,3,3,2,多派分歧,3,,,,,,,
Methodology,32,3,3,3,1,多派分歧,3,,,,,,,
Methodology,34,1,3,3,3,多派分歧,3,,,,,,,
Methodology,37,3,3,3,1,多派分歧,3,,,,,,,
Methodology,38,3,3,3,1,多派分歧,3,,,,,,,
Methodology,39,3,3,3,2,多派分歧,3,,,,,,,
Methodology,40,3,3,3,2,多派分歧,3,,,,,,,
Methodology,41,3,3,3,2,多派分歧,3,,,,,,,
Methodology,42,3,3,3,2,多派分歧,3,,,,,,,
Methodology,45,3,3,3,1,多派分歧,3,,,,,,,
Methodology,48,3,3,3,2,多派分歧,3,,,,,,,
Methodology,50,3,3,3,2,多派分歧,3,,,,,,,
Methodology,51,1,3,3,2,多派分歧,3,,,,,,,
Methodology,52,1,3,3,2,多派分歧,3,,,,,,,
Methodology,53,1,3,3,2,多派分歧,3,,,,,,,
Methodology,54,1,3,3,3,多派分歧,3,,,,,,,
Methodology,55,1,3,3,2,多派分歧,3,,,,,,,
Methodology,56,1,3,3,3,多派分歧,3,,,,,,,
Methodology,57,1,3,3,3,多派分歧,3,,,,,,,
Methodology,58,1,3,3,2,多派分歧,3,,,,,,,
Methodology,59,3,3,3,2,多派分歧,3,,,,,,,
Methodology,60,3,3,3,1,多派分歧,3,,,,,,,
Methodology,61,1,3,3,2,多派分歧,3,,,,,,,
Methodology,62,3,3,1,3,多派分歧,3,,,,,,,
Methodology,64,1,3,1,2,多派分歧,3,,,,,,,
Methodology,65,3,3,1,2,多派分歧,3,,,,,,,
Methodology,66,3,3,1,2,多派分歧,3,,,,,,,
Methodology,67,3,3,1,3,多派分歧,3,,,,,,,
Methodology,68,3,3,2,3,多派分歧,3,,,,,,,
Methodology,73,2,3,2,2,多派分歧,3,,,,,,,
Methodology,74,2,3,2,2,多派分歧,3,,,,,,,
Methodology,75,2,3,2,1,多派分歧,3,,,,,,,
Methodology,76,2,3,2,4,多派分歧,3,,,,,,,
Methodology,77,2,3,2,2,多派分歧,3,,,,,,,
Methodology,78,3,3,2,3,多派分歧,3,,,,,,,
Methodology,79,3,3,3,2,多派分歧,3,,,,,,,
Methodology,80,3,3,3,1,多派分歧,3,,,,,,,
coder_notes_rule_code,1,902,906,906,906,多派分歧,3,,,,,,,
coder_notes_rule_code,2,902,906,906,906,多派分歧,3,,,,,,,
coder_notes_rule_code,3,902,908,906,906,多派分歧,3,,,,,,,
coder_notes_rule_code,4,902,906,906,906,多派分歧,3,,,,,,,
coder_notes_rule_code,5,902,908,902,902,多派分歧,3,,,,,,,
coder_notes_rule_code,7,902,905,909,902,多派分歧,3,,,,,,,
coder_notes_rule_code,8,909,907,909,909,多派分歧,3,,,,,,,
coder_notes_rule_code,9,902,905,909,902,多派分歧,3,,,,,,,
coder_notes_rule_code,10,902,906,906,906,多派分歧,3,,,,,,,
coder_notes_rule_code,11,902,905,906,906,多派分歧,3,,,,,,,
coder_notes_rule_code,12,902,906,906,906,多派分歧,3,,,,,,,
coder_notes_rule_code,13,902,905,902,907,多派分歧,3,,,,,,,
coder_notes_rule_code,14,906,906,902,904,多派分歧,3,,,,,,,
coder_notes_rule_code,15,906,906,909,906,多派分歧,3,,,,,,,
coder_notes_rule_code,16,906,907,909,902,多派分歧,3,,,,,,,
coder_notes_rule_code,17,906,906,909,907,多派分歧,3,,,,,,,
coder_notes_rule_code,18,902,906,904,906,多派分歧,3,,,,,,,
coder_notes_rule_code,19,902,905,904,907,多派分歧,3,,,,,,,
coder_notes_rule_code,20,906,905,907,907,多派分歧,3,,,,,,,
coder_notes_rule_code,21,906,906,906,907,多派分歧,3,,,,,,,
coder_notes_rule_code,22,906,906,906,907,多派分歧,3,,,,,,,
coder_notes_rule_code,26,906,905,906,902,多派分歧,3,,,,,,,
coder_notes_rule_code,28,906,906,906,902,多派分歧,3,,,,,,,
coder_notes_rule_code,30,906,906,906,907,多派分歧,3,,,,,,,
coder_notes_rule_code,31,906,906,906,907,多派分歧,3,,,,,,,
coder_notes_rule_code,32,906,906,906,902,多派分歧,3,,,,,,,
coder_notes_rule_code,33,905,906,906,906,多派分歧,3,,,,,,,
coder_notes_rule_code,34,902,906,906,906,多派分歧,3,,,,,,,
coder_notes_rule_code,36,906,905,906,906,多派分歧,3,,,,,,,
coder_notes_rule_code,37,906,906,906,902,多派分歧,3,,,,,,,
coder_notes_rule_code,38,906,906,906,902,多派分歧,3,,,,,,,
coder_notes_rule_code,39,906,906,906,907,多派分歧,3,,,,,,,
coder_notes_rule_code,40,906,906,906,909,多派分歧,3,,,,,,,
coder_notes_rule_code,41,905,905,906,907,多派分歧,3,,,,,,,
coder_notes_rule_code,42,906,905,906,907,多派分歧,3,,,,,,,
coder_notes_rule_code,43,906,905,906,906,多派分歧,3,,,,,,,
coder_notes_rule_code,45,905,906,906,902,多派分歧,3,,,,,,,
coder_notes_rule_code,48,906,906,906,909,多派分歧,3,,,,,,,
coder_notes_rule_code,49,906,905,906,906,多派分歧,3,,,,,,,
coder_notes_rule_code,50,906,906,906,907,多派分歧,3,,,,,,,
coder_notes_rule_code,51,902,905,906,907,多派分歧,3,,,,,,,
coder_notes_rule_code,52,902,906,906,907,多派分歧,3,,,,,,,
coder_notes_rule_code,53,902,905,906,907,多派分歧,3,,,,,,,
coder_notes_rule_code,54,902,905,906,906,多派分歧,3,,,,,,,
coder_notes_rule_code,55,902,905,906,907,多派分歧,3,,,,,,,
coder_notes_rule_code,56,902,905,906,906,多派分歧,3,,,,,,,
coder_notes_rule_code,57,902,906,906,906,多派分歧,3,,,,,,,
coder_notes_rule_code,58,902,906,906,909,多派分歧,3,,,,,,,
coder_notes_rule_code,59,906,906,906,909,多派分歧,3,,,,,,,
coder_notes_rule_code,60,906,906,906,902,多派分歧,3,,,,,,,
coder_notes_rule_code,61,902,905,906,907,多派分歧,3,,,,,,,
coder_notes_rule_code,62,906,906,902,906,多派分歧,3,,,,,,,
coder_notes_rule_code,63,906,905,902,902,多派分歧,3,,,,,,,
coder_notes_rule_code,64,902,906,902,907,多派分歧,3,,,,,,,
coder_notes_rule_code,65,906,906,902,909,多派分歧,3,,,,,,,
coder_notes_rule_code,66,905,906,902,907,多派分歧,3,,,,,,,
coder_notes_rule_code,67,905,905,902,906,多派分歧,3,,,,,,,
coder_notes_rule_code,68,906,906,909,906,多派分歧,3,,,,,,,
coder_notes_rule_code,69,906,906,909,907,多派分歧,3,,,,,,,
coder_notes_rule_code,70,906,905,909,907,多派分歧,3,,,,,,,
coder_notes_rule_code,71,906,905,909,907,多派分歧,3,,,,,,,
coder_notes_rule_code,72,909,905,909,906,多派分歧,3,,,,,,,
coder_notes_rule_code,73,909,905,909,907,多派分歧,3,,,,,,,
coder_notes_rule_code,74,909,905,909,907,多派分歧,3,,,,,,,
coder_notes_rule_code,75,909,906,909,902,多派分歧,3,,,,,,,
coder_notes_rule_code,76,909,905,909,903,多派分歧,3,,,,,,,
coder_notes_rule_code,77,909,906,909,907,多派分歧,3,,,,,,,
coder_notes_rule_code,78,906,906,909,908,多派分歧,3,,,,,,,
coder_notes_rule_code,79,908,905,908,907,多派分歧,3,,,,,,,
coder_notes_rule_code,80,906,906,906,902,多派分歧,3,,,,,,,
MethodFamily,6,199,102,199,102,两派分歧,2,,,,,,,
MethodFamily,44,101,101,102,102,两派分歧,2,,,,,,,
MethodFamily,46,101,101,102,102,两派分歧,2,,,,,,,
MethodTag,6,40,20,40,20,两派分歧,2,,,,,,,
MethodTag,13,10,20,10,20,两派分歧,2,,,,,,,
MethodTag,72,30,20,30,20,两派分歧,2,,,,,,,
MethodTag,73,30,20,30,20,两派分歧,2,,,,,,,
MethodTag,74,30,20,30,20,两派分歧,2,,,,,,,
MethodTag,76,30,20,30,20,两派分歧,2,,,,,,,
MethodTag,77,30,20,30,20,两派分歧,2,,,,,,,
Methodology,6,1,3,1,3,两派分歧,2,,,,,,,
Methodology,17,3,3,2,2,两派分歧,2,,,,,,,
Methodology,20,3,3,2,2,两派分歧,2,,,,,,,
Methodology,63,3,3,1,1,两派分歧,2,,,,,,,
Methodology,69,3,3,2,2,两派分歧,2,,,,,,,
Methodology,70,3,3,2,2,两派分歧,2,,,,,,,
Methodology,71,3,3,2,2,两派分歧,2,,,,,,,
Methodology,72,2,3,2,3,两派分歧,2,,,,,,,
coder_notes_rule_code,6,902,906,902,906,两派分歧,2,,,,,,,
coder_notes_rule_code,44,905,905,906,906,两派分歧,2,,,,,,,
coder_notes_rule_code,46,905,905,906,906,两派分歧,2,,,,,,,
MethodNormativity,1,1,2,1,2,相邻分歧,1,,,,,,,
MethodNormativity,2,1,2,1,1,相邻分歧,1,,,,,,,
MethodNormativity,3,1,2,1,1,相邻分歧,1,,,,,,,
MethodNormativity,4,1,2,1,1,相邻分歧,1,,,,,,,
MethodNormativity,5,1,2,1,1,相邻分歧,1,,,,,,,
MethodNormativity,6,1,2,1,1,相邻分歧,1,,,,,,,
MethodNormativity,7,1,2,2,1,相邻分歧,1,,,,,,,
MethodNormativity,8,2,2,2,1,相邻分歧,1,,,,,,,
MethodNormativity,9,1,2,2,1,相邻分歧,1,,,,,,,
MethodNormativity,10,1,2,1,1,相邻分歧,1,,,,,,,
MethodNormativity,11,1,2,1,1,相邻分歧,1,,,,,,,
MethodNormativity,12,1,2,1,2,相邻分歧,1,,,,,,,
MethodNormativity,13,1,2,1,1,相邻分歧,1,,,,,,,
MethodNormativity,14,2,2,1,2,相邻分歧,1,,,,,,,
MethodNormativity,16,2,2,2,1,相邻分歧,1,,,,,,,
MethodNormativity,18,1,2,2,1,相邻分歧,1,,,,,,,
MethodNormativity,19,1,2,2,2,相邻分歧,1,,,,,,,
MethodNormativity,21,2,2,1,2,相邻分歧,1,,,,,,,
MethodNormativity,22,2,2,1,2,相邻分歧,1,,,,,,,
MethodNormativity,23,2,2,1,1,相邻分歧,1,,,,,,,
MethodNormativity,24,2,2,1,2,相邻分歧,1,,,,,,,
MethodNormativity,26,2,2,2,1,相邻分歧,1,,,,,,,
MethodNormativity,28,2,2,2,1,相邻分歧,1,,,,,,,
MethodNormativity,29,2,2,2,1,相邻分歧,1,,,,,,,
MethodNormativity,32,2,2,2,1,相邻分歧,1,,,,,,,
MethodNormativity,33,2,2,2,1,相邻分歧,1,,,,,,,
MethodNormativity,34,1,2,2,1,相邻分歧,1,,,,,,,
MethodNormativity,35,2,2,2,1,相邻分歧,1,,,,,,,
MethodNormativity,36,2,2,2,1,相邻分歧,1,,,,,,,
MethodNormativity,37,2,2,2,1,相邻分歧,1,,,,,,,
MethodNormativity,38,2,2,2,1,相邻分歧,1,,,,,,,
MethodNormativity,43,2,2,2,1,相邻分歧,1,,,,,,,
MethodNormativity,45,2,2,2,1,相邻分歧,1,,,,,,,
MethodNormativity,49,2,2,2,1,相邻分歧,1,,,,,,,
MethodNormativity,51,1,2,2,2,相邻分歧,1,,,,,,,
MethodNormativity,52,1,2,2,2,相邻分歧,1,,,,,,,
MethodNormativity,53,1,2,2,2,相邻分歧,1,,,,,,,
MethodNormativity,54,1,2,2,1,相邻分歧,1,,,,,,,
MethodNormativity,55,1,2,2,2,相邻分歧,1,,,,,,,
MethodNormativity,56,1,2,2,2,相邻分歧,1,,,,,,,
MethodNormativity,57,1,2,2,2,相邻分歧,1,,,,,,,
MethodNormativity,58,1,2,2,2,相邻分歧,1,,,,,,,
MethodNormativity,60,2,2,2,1,相邻分歧,1,,,,,,,
MethodNormativity,61,1,2,2,2,相邻分歧,1,,,,,,,
MethodNormativity,62,2,2,1,2,相邻分歧,1,,,,,,,
MethodNormativity,63,2,2,1,1,相邻分歧,1,,,,,,,
MethodNormativity,64,1,2,1,2,相邻分歧,1,,,,,,,
MethodNormativity,65,2,2,1,2,相邻分歧,1,,,,,,,
MethodNormativity,66,2,2,1,2,相邻分歧,1,,,,,,,
MethodNormativity,67,2,2,1,2,相邻分歧,1,,,,,,,
MethodNormativity,75,2,2,2,1,相邻分歧,1,,,,,,,
MethodNormativity,78,2,2,2,1,相邻分歧,1,,,,,,,
MethodNormativity,80,2,2,1,1,相邻分歧,1,,,,,,,
MethodTransparency,16,1,2,1,1,相邻分歧,1,,,,,,,
MethodTransparency,17,2,1,1,2,相邻分歧,1,,,,,,,
MethodTransparency,18,2,1,1,1,相邻分歧,1,,,,,,,
MethodTransparency,19,1,1,1,2,相邻分歧,1,,,,,,,
MethodTransparency,20,2,1,1,2,相邻分歧,1,,,,,,,
MethodTransparency,25,2,1,2,1,相邻分歧,1,,,,,,,
MethodTransparency,27,2,1,2,1,相邻分歧,1,,,,,,,
MethodTransparency,30,2,1,2,2,相邻分歧,1,,,,,,,
MethodTransparency,31,2,1,2,2,相邻分歧,1,,,,,,,
MethodTransparency,33,2,1,2,1,相邻分歧,1,,,,,,,
MethodTransparency,34,1,1,2,1,相邻分歧,1,,,,,,,
MethodTransparency,41,2,1,2,2,相邻分歧,1,,,,,,,
MethodTransparency,43,2,1,2,1,相邻分歧,1,,,,,,,
MethodTransparency,48,2,1,2,2,相邻分歧,1,,,,,,,
MethodTransparency,49,2,2,2,1,相邻分歧,1,,,,,,,
MethodTransparency,50,2,1,2,2,相邻分歧,1,,,,,,,
MethodTransparency,51,1,2,2,2,相邻分歧,1,,,,,,,
MethodTransparency,52,2,1,2,2,相邻分歧,1,,,,,,,
MethodTransparency,53,2,1,2,2,相邻分歧,1,,,,,,,
MethodTransparency,54,2,2,2,1,相邻分歧,1,,,,,,,
MethodTransparency,55,2,1,2,2,相邻分歧,1,,,,,,,
MethodTransparency,56,2,1,2,1,相邻分歧,1,,,,,,,
MethodTransparency,57,2,1,2,1,相邻分歧,1,,,,,,,
MethodTransparency,58,2,1,2,2,相邻分歧,1,,,,,,,
MethodTransparency,59,2,1,2,2,相邻分歧,1,,,,,,,
MethodTransparency,60,2,1,2,1,相邻分歧,1,,,,,,,
