paper_id	MethodTag_codes_agents	MethodTag_codes_unique	MethodTag_codes_codes	MethodFamily_codes_agents	MethodFamily_codes_unique	MethodFamily_codes_codes	Methodology_codes_agents	Methodology_codes_unique	Methodology_codes_codes	MethodTransparency_codes_agents	MethodTransparency_codes_unique	MethodTransparency_codes_codes	MethodNormativity_codes_agents	MethodNormativity_codes_unique	MethodNormativity_codes_codes	rule_all	priority_score	vars_conflicted
45	4	2	10|20	4	3	101|102|199	4	2	1|3	4	3	1|2|3	4	2	1|2	902|905|906	4.0	MethodFamily_codes|MethodTransparency_codes|Methodology_codes|MethodTag_codes|MethodNormativity_codes
51	4	2	10|20	4	4	101|102|105|199	4	3	1|2|3	4	2	1|2	4	2	1|2	902|905|906|907	4.0	MethodFamily_codes|MethodTransparency_codes|Methodology_codes|MethodTag_codes|MethodNormativity_codes
52	4	2	10|20	4	3	102|105|199	4	3	1|2|3	4	2	1|2	4	2	1|2	902|906|907	4.0	MethodFamily_codes|MethodTransparency_codes|Methodology_codes|MethodTag_codes|MethodNormativity_codes
53	4	2	10|20	4	4	101|102|105|199	4	3	1|2|3	4	2	1|2	4	2	1|2	902|905|906|907	4.0	MethodFamily_codes|MethodTransparency_codes|Methodology_codes|MethodTag_codes|MethodNormativity_codes
54	4	2	10|20	4	3	101|102|199	4	2	1|3	4	2	1|2	4	2	1|2	902|905|906	4.0	MethodFamily_codes|MethodTransparency_codes|Methodology_codes|MethodTag_codes|MethodNormativity_codes
55	4	2	10|20	4	4	101|102|105|199	4	3	1|2|3	4	2	1|2	4	2	1|2	902|905|906|907	4.0	MethodFamily_codes|MethodTransparency_codes|Methodology_codes|MethodTag_codes|MethodNormativity_codes
56	4	2	10|20	4	3	101|102|199	4	2	1|3	4	2	1|2	4	2	1|2	902|905|906	4.0	MethodFamily_codes|MethodTransparency_codes|Methodology_codes|MethodTag_codes|MethodNormativity_codes
57	4	2	10|20	4	2	102|199	4	2	1|3	4	2	1|2	4	2	1|2	902|906	4.0	MethodFamily_codes|MethodTransparency_codes|Methodology_codes|MethodTag_codes|MethodNormativity_codes
58	4	3	10|20|30	4	3	102|107|199	4	3	1|2|3	4	2	1|2	4	2	1|2	902|906|909	4.0	MethodFamily_codes|MethodTransparency_codes|Methodology_codes|MethodTag_codes|MethodNormativity_codes
60	4	2	10|20	4	2	102|199	4	2	1|3	4	2	1|2	4	2	1|2	902|906	4.0	MethodFamily_codes|MethodTransparency_codes|Methodology_codes|MethodTag_codes|MethodNormativity_codes
62	4	2	10|20	4	2	102|199	4	2	1|3	3	2	1|2	4	2	1|2	902|906	4.0	MethodFamily_codes|MethodTransparency_codes|Methodology_codes|MethodTag_codes|MethodNormativity_codes
63	4	3	10|20|40	4	3	101|102|199	4	2	1|3	3	2	1|2	4	2	1|2	902|905|906	4.0	MethodFamily_codes|MethodTransparency_codes|Methodology_codes|MethodTag_codes|MethodNormativity_codes
64	4	3	10|20|40	4	3	102|105|199	4	3	1|2|3	3	2	1|2	4	2	1|2	902|906|907	4.0	MethodFamily_codes|MethodTransparency_codes|Methodology_codes|MethodTag_codes|MethodNormativity_codes
65	4	3	20|30|40	4	3	102|107|199	4	3	1|2|3	3	2	1|2	4	2	1|2	902|906|909	4.0	MethodFamily_codes|MethodTransparency_codes|Methodology_codes|MethodTag_codes|MethodNormativity_codes
66	4	2	20|40	4	4	101|102|105|199	4	3	1|2|3	3	2	1|2	4	2	1|2	902|905|906|907	4.0	MethodFamily_codes|MethodTransparency_codes|Methodology_codes|MethodTag_codes|MethodNormativity_codes
67	4	2	20|40	4	3	101|102|199	4	2	1|3	3	2	1|2	4	2	1|2	902|905|906	4.0	MethodFamily_codes|MethodTransparency_codes|Methodology_codes|MethodTag_codes|MethodNormativity_codes
75	4	3	10|20|30	4	3	102|107|199	4	3	1|2|3	3	2	1|2	4	2	1|2	902|906|909	4.0	MethodFamily_codes|MethodTransparency_codes|Methodology_codes|MethodTag_codes|MethodNormativity_codes
78	4	2	20|30	4	3	102|103|107	4	2	2|3	3	2	1|2	4	2	1|2	906|908|909	4.0	MethodFamily_codes|MethodTransparency_codes|Methodology_codes|MethodTag_codes|MethodNormativity_codes
15	4	2	20|30	4	2	102|107	4	2	2|3	4	2	1|3	4	1	2	906|909	3.4	MethodFamily_codes|MethodTransparency_codes|Methodology_codes|MethodTag_codes
17	4	2	20|30	4	3	102|105|107	4	2	2|3	4	2	1|2	4	1	2	906|907|909	3.4	MethodFamily_codes|MethodTransparency_codes|Methodology_codes|MethodTag_codes
40	4	2	20|30	4	2	102|107	4	2	2|3	4	3	1|2|3	4	1	2	906|909	3.4	MethodFamily_codes|MethodTransparency_codes|Methodology_codes|MethodTag_codes
48	4	2	20|30	4	2	102|107	4	2	2|3	4	2	1|2	4	1	2	906|909	3.4	MethodFamily_codes|MethodTransparency_codes|Methodology_codes|MethodTag_codes
59	4	2	20|30	4	2	102|107	4	2	2|3	4	2	1|2	4	1	2	906|909	3.4	MethodFamily_codes|MethodTransparency_codes|Methodology_codes|MethodTag_codes
68	4	2	20|30	4	2	102|107	4	2	2|3	3	2	1|2	4	1	2	906|909	3.4	MethodFamily_codes|MethodTransparency_codes|Methodology_codes|MethodTag_codes
69	4	2	20|30	4	3	102|105|107	4	2	2|3	3	2	1|2	4	1	2	906|907|909	3.4	MethodFamily_codes|MethodTransparency_codes|Methodology_codes|MethodTag_codes
70	4	2	20|30	4	4	101|102|105|107	4	2	2|3	3	2	1|2	4	1	2	905|906|907|909	3.4	MethodFamily_codes|MethodTransparency_codes|Methodology_codes|MethodTag_codes
71	4	2	20|30	4	4	101|102|105|107	4	2	2|3	3	2	1|2	4	1	2	905|906|907|909	3.4	MethodFamily_codes|MethodTransparency_codes|Methodology_codes|MethodTag_codes
72	4	2	20|30	4	3	101|102|107	4	2	2|3	3	2	1|2	4	1	2	905|906|909	3.4	MethodFamily_codes|MethodTransparency_codes|Methodology_codes|MethodTag_codes
74	4	2	20|30	4	3	101|105|107	4	2	2|3	3	2	1|2	4	1	2	905|907|909	3.4	MethodFamily_codes|MethodTransparency_codes|Methodology_codes|MethodTag_codes
77	4	2	20|30	4	3	102|105|107	4	2	2|3	3	2	1|2	4	1	2	906|907|909	3.4	MethodFamily_codes|MethodTransparency_codes|Methodology_codes|MethodTag_codes
21	4	1	20	4	2	102|105	4	2	2|3	3	2	1|2	4	2	1|2	906|907	3.3	MethodFamily_codes|MethodTransparency_codes|Methodology_codes|MethodNormativity_codes
22	4	1	20	4	2	102|105	4	2	2|3	3	2	1|2	4	2	1|2	906|907	3.3	MethodFamily_codes|MethodTransparency_codes|Methodology_codes|MethodNormativity_codes
8	4	2	20|30	4	2	105|107	4	1	2	4	2	1|3	4	2	1|2	907|909	3.2	MethodFamily_codes|MethodTransparency_codes|MethodTag_codes|MethodNormativity_codes
1	4	2	20|40	4	2	102|199	4	2	1|3	4	1	1	4	2	1|2	902|906	3.1	MethodFamily_codes|Methodology_codes|MethodTag_codes|MethodNormativity_codes
2	4	2	20|40	4	2	102|199	4	2	1|3	4	1	1	4	2	1|2	902|906	3.1	MethodFamily_codes|Methodology_codes|MethodTag_codes|MethodNormativity_codes
3	4	2	10|20	4	3	102|103|199	4	2	1|3	4	1	1	4	2	1|2	902|906|908	3.1	MethodFamily_codes|Methodology_codes|MethodTag_codes|MethodNormativity_codes
4	4	2	20|40	4	2	102|199	4	2	1|3	4	1	1	4	2	1|2	902|906	3.1	MethodFamily_codes|Methodology_codes|MethodTag_codes|MethodNormativity_codes
5	4	3	10|20|40	4	2	103|199	4	2	1|3	4	1	1	4	2	1|2	902|908	3.1	MethodFamily_codes|Methodology_codes|MethodTag_codes|MethodNormativity_codes
6	4	2	20|40	4	2	102|199	4	2	1|3	4	1	1	4	2	1|2	902|906	3.1	MethodFamily_codes|Methodology_codes|MethodTag_codes|MethodNormativity_codes
7	4	3	10|20|30	4	3	101|107|199	4	3	1|2|3	4	1	1	4	2	1|2	902|905|909	3.1	MethodFamily_codes|Methodology_codes|MethodTag_codes|MethodNormativity_codes
9	4	3	10|20|30	4	3	101|107|199	4	3	1|2|3	4	1	1	4	2	1|2	902|905|909	3.1	MethodFamily_codes|Methodology_codes|MethodTag_codes|MethodNormativity_codes
10	4	2	20|40	4	2	102|199	4	2	1|3	4	1	1	4	2	1|2	902|906	3.1	MethodFamily_codes|Methodology_codes|MethodTag_codes|MethodNormativity_codes
11	4	2	10|20	4	3	101|102|199	4	2	1|3	4	1	1	4	2	1|2	902|905|906	3.1	MethodFamily_codes|Methodology_codes|MethodTag_codes|MethodNormativity_codes
12	4	2	20|40	4	2	102|199	4	2	1|3	4	1	1	4	2	1|2	902|906	3.1	MethodFamily_codes|Methodology_codes|MethodTag_codes|MethodNormativity_codes
61	4	2	10|20	4	4	101|102|105|199	4	3	1|2|3	4	1	2	4	2	1|2	902|905|906|907	3.1	MethodFamily_codes|Methodology_codes|MethodTag_codes|MethodNormativity_codes
80	4	2	10|20	4	2	102|199	4	2	1|3	4	1	1	4	2	1|2	902|906	3.1	MethodFamily_codes|Methodology_codes|MethodTag_codes|MethodNormativity_codes
20	4	1	20	4	3	101|102|105	4	2	2|3	4	2	1|2	4	1	2	905|906|907	2.7	MethodFamily_codes|MethodTransparency_codes|Methodology_codes
30	4	1	20	4	2	102|105	4	2	2|3	4	2	1|2	4	1	2	906|907	2.7	MethodFamily_codes|MethodTransparency_codes|Methodology_codes
31	4	1	20	4	2	102|105	4	2	2|3	4	2	1|2	4	1	2	906|907	2.7	MethodFamily_codes|MethodTransparency_codes|Methodology_codes
39	4	1	20	4	2	102|105	4	2	2|3	4	3	1|2|3	4	1	2	906|907	2.7	MethodFamily_codes|MethodTransparency_codes|Methodology_codes
41	4	1	20	4	3	101|102|105	4	2	2|3	4	2	1|2	4	1	2	905|906|907	2.7	MethodFamily_codes|MethodTransparency_codes|Methodology_codes
42	4	1	20	4	3	101|102|105	4	2	2|3	4	3	1|2|3	4	1	2	905|906|907	2.7	MethodFamily_codes|MethodTransparency_codes|Methodology_codes
50	4	1	20	4	2	102|105	4	2	2|3	4	2	1|2	4	1	2	906|907	2.7	MethodFamily_codes|MethodTransparency_codes|Methodology_codes
33	4	1	20	4	2	101|102	4	1	3	4	2	1|2	4	2	1|2	905|906	2.5	MethodFamily_codes|MethodTransparency_codes|MethodNormativity_codes
36	4	1	20	4	2	101|102	4	1	3	4	3	1|2|3	4	2	1|2	905|906	2.5	MethodFamily_codes|MethodTransparency_codes|MethodNormativity_codes
43	4	1	20	4	2	101|102	4	1	3	4	2	1|2	4	2	1|2	905|906	2.5	MethodFamily_codes|MethodTransparency_codes|MethodNormativity_codes
49	4	1	20	4	2	101|102	4	1	3	4	2	1|2	4	2	1|2	905|906	2.5	MethodFamily_codes|MethodTransparency_codes|MethodNormativity_codes
73	4	2	20|30	4	3	101|105|107	4	2	2|3	3	1	2	4	1	2	905|907|909	2.5	MethodFamily_codes|Methodology_codes|MethodTag_codes
76	4	2	20|30	4	3	101|105|107	4	3	2|3|4	3	1	2	4	1	2	903|905|909	2.5	MethodFamily_codes|Methodology_codes|MethodTag_codes
44	4	1	20	4	2	101|102	4	1	3	4	3	1|2|3	4	1	2	905|906	1.9	MethodFamily_codes|MethodTransparency_codes
46	4	1	20	4	2	101|102	4	1	3	4	3	1|2|3	4	1	2	905|906	1.9	MethodFamily_codes|MethodTransparency_codes
79	4	1	20	4	3	101|103|105	4	2	2|3	3	1	2	4	1	2	905|907|908	1.8	MethodFamily_codes|Methodology_codes
23	4	1	20	4	1	102	4	1	3	3	2	1|2	4	2	1|2	906	1.5	MethodTransparency_codes|MethodNormativity_codes
24	4	1	20	4	1	102	4	1	3	3	2	1|2	4	2	1|2	906	1.5	MethodTransparency_codes|MethodNormativity_codes
29	4	1	20	4	1	102	4	1	3	4	3	1|2|3	4	2	1|2	906	1.5	MethodTransparency_codes|MethodNormativity_codes
35	4	1	20	4	1	102	4	1	3	4	3	1|2|3	4	2	1|2	906	1.5	MethodTransparency_codes|MethodNormativity_codes
25	4	1	20	4	1	102	4	1	3	4	2	1|2	4	1	2	906	0.9	MethodTransparency_codes
27	4	1	20	4	1	102	4	1	3	4	2	1|2	4	1	2	906	0.9	MethodTransparency_codes
47	4	1	20	4	1	102	4	1	3	4	3	1|2|3	4	1	2	906	0.9	MethodTransparency_codes
